Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 01:00:29.402000,PIA,81,0 days 00:01:38.083000,3.0,1.0,,,0 days 00:00:31.306000,0 days 00:00:42.727000,0 days 00:00:24.050000,0 days 00:59:22.680000,0 days 01:00:05.407000,0 days 01:00:29.457000,233.0,236.0,276.0,290.0,False,SOFT,6.0,False,McLaren,0 days 00:58:51.319000,2025-04-13 15:07:05.586,1,1.0,False,,False,True,98.083,C3,2025,97.492,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.590999999999994,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:30.819000,RUS,63,0 days 00:01:38.286000,3.0,1.0,,,0 days 00:00:31.490000,0 days 00:00:42.703000,0 days 00:00:24.093000,0 days 00:59:24.053000,0 days 01:00:06.756000,0 days 01:00:30.849000,231.0,244.0,280.0,293.0,False,SOFT,6.0,False,Mercedes,0 days 00:58:52.533000,2025-04-13 15:07:06.800,1,2.0,False,,False,True,98.286,C3,2025,97.817,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.4690000000000083,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:31.885000,NOR,4,0 days 00:01:38.417000,3.0,1.0,,,0 days 00:00:31.039000,0 days 00:00:43.110000,0 days 00:00:24.268000,0 days 00:59:24.547000,0 days 01:00:07.657000,0 days 01:00:31.925000,231.0,238.0,284.0,307.0,False,SOFT,6.0,False,McLaren,0 days 00:58:53.468000,2025-04-13 15:07:07.735,1,3.0,False,,False,True,98.417,C3,2025,97.91,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.507000000000005,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:32.977000,LEC,16,0 days 00:01:38.463000,3.0,1.0,,,0 days 00:00:31.396000,0 days 00:00:42.837000,0 days 00:00:24.230000,0 days 00:59:25.949000,0 days 01:00:08.786000,0 days 01:00:33.016000,223.0,257.0,283.0,300.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:58:54.514000,2025-04-13 15:07:08.781,1,4.0,False,,False,True,98.463,C2,2025,98.048,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.41499999999999204,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:33.666000,GAS,10,0 days 00:01:38.418000,3.0,1.0,,,0 days 00:00:31.180000,0 days 00:00:42.805000,0 days 00:00:24.433000,0 days 00:59:26.457000,0 days 01:00:09.262000,0 days 01:00:33.695000,228.0,244.0,283.0,302.0,False,SOFT,6.0,False,Alpine,0 days 00:58:55.248000,2025-04-13 15:07:09.515,1,5.0,False,,False,True,98.418,C3,2025,98.064,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.3540000000000134,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:34.478000,SAI,55,0 days 00:01:38.389000,3.0,1.0,,,0 days 00:00:31.122000,0 days 00:00:43.005000,0 days 00:00:24.262000,0 days 00:59:27.211000,0 days 01:00:10.216000,0 days 01:00:34.478000,227.0,247.0,284.0,324.0,False,SOFT,6.0,False,Williams,0 days 00:58:56.089000,2025-04-13 15:07:10.356,1,6.0,False,,False,True,98.389,C3,2025,98.185,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.20399999999999352,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:35.111000,ANT,12,0 days 00:01:38.427000,3.0,1.0,,,0 days 00:00:31.022000,0 days 00:00:43.195000,0 days 00:00:24.210000,0 days 00:59:27.764000,0 days 01:00:10.959000,0 days 01:00:35.169000,232.0,245.0,286.0,323.0,False,SOFT,6.0,False,Mercedes,0 days 00:58:56.684000,2025-04-13 15:07:10.951,1,7.0,False,,False,True,98.427,C3,2025,98.187,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.2400000000000091,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:35.889000,VER,1,0 days 00:01:38.475000,3.0,1.0,,,0 days 00:00:30.952000,0 days 00:00:43.091000,0 days 00:00:24.432000,0 days 00:59:28.390000,0 days 01:00:11.481000,0 days 01:00:35.913000,228.0,245.0,286.0,312.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:58:57.414000,2025-04-13 15:07:11.681,1,8.0,False,,False,True,98.475,C3,2025,98.403,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.07199999999998852,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:36.687000,HAM,44,0 days 00:01:38.419000,3.0,1.0,,,0 days 00:00:31.073000,0 days 00:00:43.067000,0 days 00:00:24.279000,0 days 00:59:29.391000,0 days 01:00:12.458000,0 days 01:00:36.737000,225.0,240.0,287.0,313.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:58:58.268000,2025-04-13 15:07:12.535,1,9.0,False,,False,True,98.419,C2,2025,98.566,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.14700000000000557,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:37.593000,TSU,22,0 days 00:01:38.565000,3.0,1.0,,,0 days 00:00:31.024000,0 days 00:00:43.141000,0 days 00:00:24.400000,0 days 00:59:30.093000,0 days 01:00:13.234000,0 days 01:00:37.634000,231.0,239.0,284.0,319.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:58:59.028000,2025-04-13 15:07:13.295,1,10.0,False,,False,True,98.565,C3,2025,98.959,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.39400000000000546,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:38.192000,DOO,7,0 days 00:01:38.714000,3.0,1.0,,,0 days 00:00:31.135000,0 days 00:00:43.081000,0 days 00:00:24.498000,0 days 00:59:30.661000,0 days 01:00:13.742000,0 days 01:00:38.240000,228.0,254.0,284.0,302.0,True,SOFT,3.0,True,Alpine,0 days 00:58:59.478000,2025-04-13 15:07:13.745,1,11.0,False,,False,True,98.714,C3,2025,99.172,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.4579999999999984,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:38.899000,OCO,31,0 days 00:01:38.726000,3.0,1.0,,,0 days 00:00:30.973000,0 days 00:00:43.266000,0 days 00:00:24.487000,0 days 00:59:31.190000,0 days 01:00:14.456000,0 days 01:00:38.943000,230.0,253.0,286.0,316.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:59:00.173000,2025-04-13 15:07:14.440,1,12.0,False,,False,True,98.726,C3,2025,98.883,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.15699999999999648,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:41.451000,ALO,14,0 days 00:01:40.017000,3.0,1.0,,,0 days 00:00:31.769000,0 days 00:00:43.477000,0 days 00:00:24.771000,0 days 00:59:33.223000,0 days 01:00:16.700000,0 days 01:00:41.471000,230.0,245.0,282.0,295.0,True,MEDIUM,3.0,True,Aston Martin,0 days 00:59:01.434000,2025-04-13 15:07:15.701,1,14.0,False,,False,True,100.017,C2,2025,100.514,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.4969999999999999,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:41.859000,BEA,87,0 days 00:01:39.586000,3.0,1.0,,,0 days 00:00:31.415000,0 days 00:00:43.700000,0 days 00:00:24.471000,0 days 00:59:33.737000,0 days 01:00:17.437000,0 days 01:00:41.908000,228.0,244.0,288.0,322.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:59:02.273000,2025-04-13 15:07:16.540,1,15.0,False,,False,True,99.586,C3,2025,100.265,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.679000000000002,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:42.617000,HAD,6,0 days 00:01:39.767000,3.0,1.0,,,0 days 00:00:31.408000,0 days 00:00:43.811000,0 days 00:00:24.548000,0 days 00:59:34.292000,0 days 01:00:18.103000,0 days 01:00:42.651000,230.0,243.0,287.0,318.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:59:02.850000,2025-04-13 15:07:17.117,1,16.0,False,,False,True,99.767,C3,2025,99.603,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,0.16400000000000148,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:43.420000,LAW,30,0 days 00:01:39.689000,3.0,1.0,,,0 days 00:00:31.183000,0 days 00:00:43.667000,0 days 00:00:24.839000,0 days 00:59:34.956000,0 days 01:00:18.623000,0 days 01:00:43.462000,233.0,242.0,287.0,323.0,True,MEDIUM,3.0,True,Racing Bulls,0 days 00:59:03.731000,2025-04-13 15:07:17.998,1,17.0,False,,False,True,99.689,C2,2025,100.13,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.4410000000000025,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:43.930000,STR,18,0 days 00:01:39.708000,3.0,1.0,,,0 days 00:00:31.237000,0 days 00:00:43.684000,0 days 00:00:24.787000,0 days 00:59:35.493000,0 days 01:00:19.177000,0 days 01:00:43.964000,218.0,237.0,286.0,310.0,True,SOFT,3.0,True,Aston Martin,0 days 00:59:04.222000,2025-04-13 15:07:18.489,1,18.0,False,,False,True,99.708,C3,2025,100.25,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.5420000000000016,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:44.791000,BOR,5,0 days 00:01:39.900000,3.0,1.0,,,0 days 00:00:31.164000,0 days 00:00:43.889000,0 days 00:00:24.847000,0 days 00:59:36.079000,0 days 01:00:19.968000,0 days 01:00:44.815000,230.0,251.0,288.0,337.0,True,MEDIUM,3.0,True,Kick Sauber,0 days 00:59:04.891000,2025-04-13 15:07:19.158,1,19.0,False,,False,True,99.9,C2,2025,100.45,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.5499999999999972,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:00:45.269000,HUL,27,0 days 00:01:40.019000,3.0,1.0,,,0 days 00:00:31.363000,0 days 00:00:43.957000,0 days 00:00:24.699000,0 days 00:59:36.655000,0 days 01:00:20.612000,0 days 01:00:45.311000,230.0,245.0,290.0,325.0,True,SOFT,3.0,True,Kick Sauber,0 days 00:59:05.250000,2025-04-13 15:07:19.517,1,20.0,False,,False,True,100.019,C3,2025,100.634,27.1,45.0,1008.0,False,31.9,31.0,1.4,4.799999999999997,-0.6149999999999949,0.35915544132940475,0.9048374180359595,0.0003630391058091785,0.9380049995307295,2.0987910487930498e-16,0.9753099120283331
0 days 01:02:07.535000,PIA,81,0 days 00:01:38.133000,4.0,1.0,,,0 days 00:00:31.326000,0 days 00:00:42.796000,0 days 00:00:24.011000,0 days 01:01:00.783000,0 days 01:01:43.579000,0 days 01:02:07.590000,232.0,237.0,277.0,293.0,False,SOFT,7.0,False,McLaren,0 days 01:00:29.402000,2025-04-13 15:08:43.669,1,1.0,False,,False,True,98.133,C3,2025,98.083,27.1,46.0,1008.1,False,31.9,23.0,2.2,4.799999999999997,0.04999999999999716,0.35915544132940475,0.6703200460356393,0.0004333347647149259,0.7741419687922483,2.1874204564208623e-32,0.9753099120283331
0 days 01:02:09.197000,RUS,63,0 days 00:01:38.378000,4.0,1.0,,,0 days 00:00:31.455000,0 days 00:00:42.808000,0 days 00:00:24.115000,0 days 01:01:02.304000,0 days 01:01:45.112000,0 days 01:02:09.227000,231.0,245.0,280.0,302.0,False,SOFT,7.0,False,Mercedes,0 days 01:00:30.819000,2025-04-13 15:08:45.086,1,2.0,False,,False,True,98.378,C3,2025,98.286,27.1,46.0,1008.1,False,31.9,23.0,2.2,4.799999999999997,0.09199999999999875,0.35915544132940475,0.6703200460356393,0.0004333347647149259,0.7741419687922483,2.1874204564208623e-32,0.9753099120283331
0 days 01:02:10.120000,NOR,4,0 days 00:01:38.235000,4.0,1.0,,,0 days 00:00:31.052000,0 days 00:00:42.808000,0 days 00:00:24.375000,0 days 01:01:02.977000,0 days 01:01:45.785000,0 days 01:02:10.160000,226.0,246.0,284.0,311.0,False,SOFT,7.0,False,McLaren,0 days 01:00:31.885000,2025-04-13 15:08:46.152,1,3.0,False,,False,True,98.235,C3,2025,98.417,27.1,46.0,1008.1,False,31.9,23.0,2.2,4.799999999999997,-0.18200000000000216,0.35915544132940475,0.6703200460356393,0.0004333347647149259,0.7741419687922483,2.1874204564208623e-32,0.9753099120283331
