Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 00:59:20.387000,PIA,81,0 days 00:01:24.401000,3.0,1.0,,,0 days 00:00:30.303000,0 days 00:00:30.297000,0 days 00:00:23.801000,0 days 00:58:26.305000,0 days 00:58:56.602000,0 days 00:59:20.403000,259.0,233.0,244.0,283.0,False,MEDIUM,3.0,True,McLaren,0 days 00:57:55.986000,2024-07-21 13:05:49.599,1,1.0,False,,False,True,84.401,C4,2024,84.038,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.36299999999999955,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:21.639000,VER,1,0 days 00:01:24.075000,3.0,1.0,,,0 days 00:00:29.983000,0 days 00:00:30.562000,0 days 00:00:23.530000,0 days 00:58:27.580000,0 days 00:58:58.142000,0 days 00:59:21.672000,276.0,235.0,243.0,285.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:57:57.564000,2024-07-21 13:05:51.177,1,2.0,False,,False,True,84.075,C4,2024,84.026,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.049000000000006594,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:23.224000,NOR,4,0 days 00:01:24.393000,3.0,1.0,,,0 days 00:00:30.228000,0 days 00:00:30.495000,0 days 00:00:23.670000,0 days 00:58:29.117000,0 days 00:58:59.612000,0 days 00:59:23.282000,270.0,234.0,244.0,288.0,False,MEDIUM,3.0,True,McLaren,0 days 00:57:58.831000,2024-07-21 13:05:52.444,1,3.0,False,,False,True,84.393,C4,2024,84.24,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.1530000000000058,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:24.954000,HAM,44,0 days 00:01:24.679000,3.0,1.0,,,0 days 00:00:30.308000,0 days 00:00:30.549000,0 days 00:00:23.822000,0 days 00:58:30.614000,0 days 00:59:01.163000,0 days 00:59:24.985000,274.0,236.0,243.0,284.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:00.275000,2024-07-21 13:05:53.888,1,4.0,False,,False,True,84.679,C4,2024,84.832,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,-0.1529999999999916,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:26.143000,LEC,16,0 days 00:01:24.647000,3.0,1.0,,,0 days 00:00:30.280000,0 days 00:00:30.432000,0 days 00:00:23.935000,0 days 00:58:31.802000,0 days 00:59:02.234000,0 days 00:59:26.169000,281.0,233.0,243.0,289.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:58:01.496000,2024-07-21 13:05:55.109,1,5.0,False,,False,True,84.647,C4,2024,85.076,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,-0.42899999999998784,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:30.071000,ALO,14,0 days 00:01:26.908000,3.0,1.0,,,0 days 00:00:31.214000,0 days 00:00:31.877000,0 days 00:00:23.817000,0 days 00:58:34.396000,0 days 00:59:06.273000,0 days 00:59:30.090000,257.0,230.0,243.0,286.0,False,SOFT,5.0,False,Aston Martin,0 days 00:58:03.163000,2024-07-21 13:05:56.776,1,7.0,False,,False,True,86.908,C5,2024,86.085,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.8230000000000075,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:30.869000,STR,18,0 days 00:01:26.471000,3.0,1.0,,,0 days 00:00:30.447000,0 days 00:00:31.933000,0 days 00:00:24.091000,0 days 00:58:34.861000,0 days 00:59:06.794000,0 days 00:59:30.885000,261.0,234.0,248.0,302.0,False,SOFT,6.0,False,Aston Martin,0 days 00:58:04.398000,2024-07-21 13:05:58.011,1,8.0,False,,False,True,86.471,C5,2024,86.376,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.09499999999999886,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:31.466000,ALB,23,0 days 00:01:26.583000,3.0,1.0,,,0 days 00:00:30.502000,0 days 00:00:31.975000,0 days 00:00:24.106000,0 days 00:58:35.399000,0 days 00:59:07.374000,0 days 00:59:31.480000,266.0,231.0,249.0,305.0,False,SOFT,3.0,True,Williams,0 days 00:58:04.883000,2024-07-21 13:05:58.496,1,9.0,False,,False,True,86.583,C5,2024,86.441,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.1419999999999959,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:32.319000,MAG,20,0 days 00:01:26.600000,3.0,1.0,,,0 days 00:00:30.297000,0 days 00:00:31.937000,0 days 00:00:24.366000,0 days 00:58:36.040000,0 days 00:59:07.977000,0 days 00:59:32.343000,269.0,226.0,247.0,306.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:58:05.719000,2024-07-21 13:05:59.332,1,10.0,False,,False,True,86.6,C5,2024,86.68,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,-0.0800000000000125,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:32.678000,RIC,3,0 days 00:01:26.545000,3.0,1.0,,,0 days 00:00:30.497000,0 days 00:00:31.793000,0 days 00:00:24.255000,0 days 00:58:36.669000,0 days 00:59:08.462000,0 days 00:59:32.717000,271.0,232.0,250.0,305.0,True,MEDIUM,3.0,True,Racing Bulls,0 days 00:58:06.133000,2024-07-21 13:05:59.746,1,11.0,False,,False,True,86.545,C4,2024,86.602,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,-0.05700000000000216,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:33.390000,TSU,22,0 days 00:01:26.681000,3.0,1.0,,,0 days 00:00:30.335000,0 days 00:00:31.840000,0 days 00:00:24.506000,0 days 00:58:37.062000,0 days 00:59:08.902000,0 days 00:59:33.408000,266.0,230.0,246.0,302.0,False,MEDIUM,3.0,True,Racing Bulls,0 days 00:58:06.709000,2024-07-21 13:06:00.322,1,12.0,False,,False,True,86.681,C4,2024,86.461,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.21999999999999886,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
0 days 00:59:33.796000,BOT,77,0 days 00:01:26.586000,3.0,1.0,,,0 days 00:00:30.302000,0 days 00:00:31.914000,0 days 00:00:24.370000,0 days 00:58:37.512000,0 days 00:59:09.426000,0 days 00:59:33.796000,277.0,231.0,250.0,306.0,False,MEDIUM,4.0,False,Kick Sauber,0 days 00:58:07.210000,2024-07-21 13:06:00.823,1,13.0,False,,False,True,86.586,C4,2024,86.578,29.0,46.0,981.7,False,45.2,316.0,1.1,16.200000000000003,0.007999999999995566,3.524296154879222e-08,0.0003035391380788668,0.06693722761675489,0.9646402934831231,1.0155002470054133e-122,0.02420974599079132
