Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 01:00:08.752000,PIA,81,0 days 00:01:25.261000,3.0,1.0,,,0 days 00:00:27.670000,0 days 00:00:29.271000,0 days 00:00:28.320000,0 days 00:59:11.195000,0 days 00:59:40.466000,0 days 01:00:08.786000,313.0,310.0,309.0,320.0,False,MEDIUM,3.0,True,McLaren,0 days 00:58:43.491000,2024-09-01 13:06:27.410,1,1.0,False,,False,True,85.261,C4,2024,85.116,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,0.14499999999999602,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:09.506000,LEC,16,0 days 00:01:25.179000,3.0,1.0,,,0 days 00:00:27.679000,0 days 00:00:29.001000,0 days 00:00:28.499000,0 days 00:59:12.029000,0 days 00:59:41.030000,0 days 01:00:09.529000,313.0,324.0,313.0,328.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:58:44.327000,2024-09-01 13:06:28.246,1,2.0,False,,False,True,85.179,C4,2024,85.396,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.21699999999999875,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:10.291000,NOR,4,0 days 00:01:25.110000,3.0,1.0,,,0 days 00:00:27.513000,0 days 00:00:29.381000,0 days 00:00:28.216000,0 days 00:59:12.738000,0 days 00:59:42.119000,0 days 01:00:10.335000,313.0,323.0,312.0,327.0,True,MEDIUM,3.0,True,McLaren,0 days 00:58:45.181000,2024-09-01 13:06:29.100,1,3.0,False,,False,True,85.11,C4,2024,85.458,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.347999999999999,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:11.186000,SAI,55,0 days 00:01:25.358000,3.0,1.0,,,0 days 00:00:27.447000,0 days 00:00:29.503000,0 days 00:00:28.408000,0 days 00:59:13.297000,0 days 00:59:42.800000,0 days 01:00:11.208000,317.0,328.0,312.0,337.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:58:45.828000,2024-09-01 13:06:29.747,1,4.0,False,,False,True,85.358,C4,2024,85.731,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.37299999999999045,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:12.099000,HAM,44,0 days 00:01:25.630000,3.0,1.0,,,0 days 00:00:27.495000,0 days 00:00:29.688000,0 days 00:00:28.447000,0 days 00:59:13.965000,0 days 00:59:43.653000,0 days 01:00:12.100000,317.0,327.0,311.0,323.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:46.469000,2024-09-01 13:06:30.388,1,5.0,False,,False,True,85.63,C4,2024,86.043,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.4130000000000109,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:13.131000,VER,1,0 days 00:01:25.855000,3.0,1.0,,,0 days 00:00:27.731000,0 days 00:00:29.496000,0 days 00:00:28.628000,0 days 00:59:15.024000,0 days 00:59:44.520000,0 days 01:00:13.148000,314.0,332.0,312.0,321.0,True,HARD,3.0,True,Red Bull Racing,0 days 00:58:47.276000,2024-09-01 13:06:31.195,1,6.0,False,,False,True,85.855,C3,2024,86.17,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.3149999999999977,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:14.052000,RUS,63,0 days 00:01:25.733000,3.0,1.0,,,0 days 00:00:27.459000,0 days 00:00:29.557000,0 days 00:00:28.717000,0 days 00:59:15.789000,0 days 00:59:45.346000,0 days 01:00:14.063000,320.0,334.0,311.0,339.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:48.319000,2024-09-01 13:06:32.238,1,7.0,False,,False,True,85.733,C4,2024,86.055,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.32200000000000273,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:14.618000,PER,11,0 days 00:01:25.757000,3.0,1.0,,,0 days 00:00:27.641000,0 days 00:00:29.539000,0 days 00:00:28.577000,0 days 00:59:16.508000,0 days 00:59:46.047000,0 days 01:00:14.624000,313.0,333.0,312.0,325.0,True,HARD,3.0,True,Red Bull Racing,0 days 00:58:48.861000,2024-09-01 13:06:32.780,1,8.0,False,,False,True,85.757,C3,2024,86.411,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.6539999999999964,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:16.010000,ALB,23,0 days 00:01:26.282000,3.0,1.0,,,0 days 00:00:27.753000,0 days 00:00:29.699000,0 days 00:00:28.830000,0 days 00:59:17.497000,0 days 00:59:47.196000,0 days 01:00:16.026000,318.0,324.0,310.0,339.0,False,MEDIUM,3.0,True,Williams,0 days 00:58:49.728000,2024-09-01 13:06:33.647,1,9.0,True,TRACK LIMITS AT TURN 2 LAP 33 ,False,True,86.282,C4,2024,87.011,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.7289999999999992,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
0 days 01:00:17.621000,RIC,3,0 days 00:01:26.588000,3.0,1.0,,,0 days 00:00:27.948000,0 days 00:00:29.629000,0 days 00:00:29.011000,0 days 00:59:19.001000,0 days 00:59:48.630000,0 days 01:00:17.641000,317.0,327.0,312.0,326.0,True,MEDIUM,3.0,True,Racing Bulls,0 days 00:58:51.033000,2024-09-01 13:06:34.952,1,11.0,False,,False,True,86.588,C4,2024,87.177,33.7,30.0,993.3,False,50.6,185.0,2.3,16.9,-0.5890000000000128,0.007446583070924338,0.0003035391380788668,0.4065696597405991,0.9646402934831231,0.02732372244729256,0.482391140115127
