Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 01:01:45.066000,VER,1,0 days 00:01:40.069000,3.0,1.0,,,0 days 00:00:27.191000,0 days 00:00:39.968000,0 days 00:00:32.910000,0 days 01:00:32.228000,0 days 01:01:12.196000,0 days 01:01:45.106000,215.0,177.0,198.0,308.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:00:04.997000,2025-10-19 19:07:00.590,1,1.0,False,,False,True,100.069,C3,2025,100.241,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.17199999999999704,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:47.509000,LEC,16,0 days 00:01:40.785000,3.0,1.0,,,0 days 00:00:27.113000,0 days 00:00:40.196000,0 days 00:00:33.476000,0 days 01:00:33.870000,0 days 01:01:14.066000,0 days 01:01:47.542000,226.0,178.0,200.0,307.0,False,SOFT,6.0,False,Ferrari,0 days 01:00:06.724000,2025-10-19 19:07:02.317,1,2.0,False,,False,True,100.785,C4,2025,100.503,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,0.2819999999999965,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:48.154000,NOR,4,0 days 00:01:40.513000,3.0,1.0,,,0 days 00:00:27.004000,0 days 00:00:39.508000,0 days 00:00:34.001000,0 days 01:00:34.690000,0 days 01:01:14.198000,0 days 01:01:48.199000,217.0,180.0,201.0,330.0,True,MEDIUM,3.0,True,McLaren,0 days 01:00:07.641000,2025-10-19 19:07:03.234,1,3.0,False,,False,True,100.513,C3,2025,100.65,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.13700000000000045,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:48.848000,HAM,44,0 days 00:01:40.295000,3.0,1.0,,,0 days 00:00:26.844000,0 days 00:00:39.714000,0 days 00:00:33.737000,0 days 01:00:35.431000,0 days 01:01:15.145000,0 days 01:01:48.882000,208.0,180.0,203.0,322.0,True,MEDIUM,3.0,True,Ferrari,0 days 01:00:08.553000,2025-10-19 19:07:04.146,1,4.0,False,,False,True,100.295,C3,2025,100.828,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.5330000000000013,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:49.682000,PIA,81,0 days 00:01:40.371000,3.0,1.0,,,0 days 00:00:27.051000,0 days 00:00:39.711000,0 days 00:00:33.609000,0 days 01:00:36.392000,0 days 01:01:16.103000,0 days 01:01:49.712000,216.0,177.0,200.0,328.0,False,MEDIUM,3.0,True,McLaren,0 days 01:00:09.311000,2025-10-19 19:07:04.904,1,5.0,True,TRACK LIMITS AT TURN 9 LAP 3 ,False,True,100.371,C3,2025,100.687,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.3160000000000025,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:50.559000,RUS,63,0 days 00:01:40.727000,3.0,1.0,,,0 days 00:00:27.076000,0 days 00:00:39.949000,0 days 00:00:33.702000,0 days 01:00:36.957000,0 days 01:01:16.906000,0 days 01:01:50.608000,211.0,180.0,203.0,319.0,True,MEDIUM,3.0,True,Mercedes,0 days 01:00:09.832000,2025-10-19 19:07:05.425,1,6.0,False,,False,True,100.727,C3,2025,100.911,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.1839999999999975,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:54.697000,BEA,87,0 days 00:01:41.732000,3.0,1.0,,,0 days 00:00:27.698000,0 days 00:00:40.345000,0 days 00:00:33.689000,0 days 01:00:40.724000,0 days 01:01:21.069000,0 days 01:01:54.758000,203.0,178.0,201.0,321.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 01:00:12.965000,2025-10-19 19:07:08.558,1,10.0,False,,False,True,101.732,C3,2025,102.479,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.7469999999999999,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:55.477000,HUL,27,0 days 00:01:41.551000,3.0,1.0,,,0 days 00:00:27.304000,0 days 00:00:40.297000,0 days 00:00:33.950000,0 days 01:00:41.267000,0 days 01:01:21.564000,0 days 01:01:55.514000,204.0,181.0,202.0,335.0,True,MEDIUM,3.0,True,Kick Sauber,0 days 01:00:13.926000,2025-10-19 19:07:09.519,1,11.0,False,,False,True,101.551,C3,2025,102.067,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.5159999999999911,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:56.258000,ALO,14,0 days 00:01:41.587000,3.0,1.0,,,0 days 00:00:27.459000,0 days 00:00:40.250000,0 days 00:00:33.878000,0 days 01:00:42.173000,0 days 01:01:22.423000,0 days 01:01:56.301000,205.0,180.0,201.0,316.0,True,MEDIUM,4.0,False,Aston Martin,0 days 01:00:14.671000,2025-10-19 19:07:10.264,1,12.0,False,,False,True,101.587,C3,2025,102.426,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.8389999999999986,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:58.822000,BOR,5,0 days 00:01:42.033000,3.0,1.0,,,0 days 00:00:27.300000,0 days 00:00:40.545000,0 days 00:00:34.188000,0 days 01:00:44.113000,0 days 01:01:24.658000,0 days 01:01:58.846000,202.0,173.0,201.0,324.0,False,SOFT,3.0,True,Kick Sauber,0 days 01:00:16.789000,2025-10-19 19:07:12.382,1,15.0,True,TRACK LIMITS AT TURN 12 LAP 3 ,False,True,102.033,C4,2025,102.784,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.7510000000000048,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:01:59.893000,COL,43,0 days 00:01:42.241000,3.0,1.0,,,0 days 00:00:27.451000,0 days 00:00:40.561000,0 days 00:00:34.229000,0 days 01:00:45.162000,0 days 01:01:25.723000,0 days 01:01:59.952000,210.0,169.0,199.0,325.0,True,MEDIUM,3.0,True,Alpine,0 days 01:00:17.652000,2025-10-19 19:07:13.245,1,16.0,False,,False,True,102.241,C3,2025,103.041,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.7999999999999972,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
0 days 01:02:05.765000,ALB,23,0 days 00:01:41.723000,3.0,1.0,,,0 days 00:00:27.294000,0 days 00:00:40.354000,0 days 00:00:34.075000,0 days 01:00:51.336000,0 days 01:01:31.690000,0 days 01:02:05.765000,210.0,176.0,198.0,318.0,True,HARD,3.0,True,Williams,0 days 01:00:24.042000,2025-10-19 19:07:19.635,1,20.0,False,,False,True,101.723,C1,2025,102.558,28.3,22.0,1001.1,False,45.5,80.0,1.0,17.2,-0.835000000000008,0.9990004998333749,3.074879879586606e-09,0.9646402934831204,0.8333929661285027,1.0155002470054133e-122,0.9380049995307299
