Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Bahrain Grand Prix\bahrain_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media          IC_95%_R2
   5%     3     53      1.6067 [0.5359, 2.6775]     0.9799 [0.3764, 1.5835]  -10.5945 [-24.3854, 3.1964]
  10%     6     50      0.4747 [0.2523, 0.6971]     0.3298 [0.2129, 0.4466]    0.4184  [-0.5351, 1.3719]
  12%     7     49      0.3526 [0.3089, 0.3963]     0.2609 [0.2401, 0.2816]    0.9011   [0.8516, 0.9505]
  15%     8     48      0.3212 [0.3057, 0.3367]     0.2441 [0.2336, 0.2546]    0.9311    [0.923, 0.9392]
  20%    11     45      0.3218 [0.3064, 0.3372]     0.2440 [0.2336, 0.2543]    0.9307   [0.9233, 0.9381]
  25%    14     42      0.3031 [0.2914, 0.3148]     0.2316 [0.2228, 0.2404]    0.9369   [0.9309, 0.9429]
  30%    16     40      0.2991 [0.2891, 0.3091]     0.2286  [0.221, 0.2361]    0.9381   [0.9328, 0.9434]
  35%    19     37      0.2878 [0.2795, 0.2961]     0.2206 [0.2141, 0.2272]    0.9427   [0.9383, 0.9472]
  40%    22     34      0.2842 [0.2773, 0.2911]     0.2180  [0.212, 0.2239]    0.9461   [0.9428, 0.9495]
  60%    33     23      0.2802 [0.2726, 0.2879]     0.2159 [0.2091, 0.2227]    0.9481    [0.9452, 0.951]

--- TODOS OS FOLDS (WF GERAL) | MELHOR -> PIOR RMSE ---
Ratio  Fold Voltas_Treino Voltas_Teste  Train_Regs  Test_Regs    RMSE     MAE        R2
  35%    29         31-45        46-49         761        195  0.2528  0.1882    0.9494
  60%    14         16-41        42-48        1488        370  0.2532  0.1911    0.9558
  25%    34         36-46        47-49         604        147  0.2533  0.1874    0.9457
  60%    15         17-42        43-49        1499        364  0.2546  0.1908    0.9532
  10%    42         44-47        48-49         203         99  0.2549  0.1868    0.9401
  35%     4          6-20        21-24         849        294  0.2557  0.1947    0.9485
  12%    42         44-48        49-50         251        102  0.2559  0.1946    0.9440
  40%    26         28-44        45-49         888        244  0.2566  0.1929    0.9480
  40%     1          3-19        20-24         992        364  0.2570  0.1934    0.9459
  35%    25         27-41        42-45         776        226  0.2570  0.1968    0.9572
  35%    28         30-44        45-48         770        193  0.2572  0.1906    0.9487
  40%    22         24-40        41-45         934        279  0.2574  0.1981    0.9586
  15%    19         21-26        27-28         429        123  0.2575  0.2082    0.9579
  35%    30         32-46        47-50         753        198  0.2578  0.1918    0.9439
  40%    21         23-39        40-44         950        289  0.2579  0.1988    0.9596
  35%    24         26-40        41-44         787        230  0.2581  0.2001    0.9596
  30%    31         33-44        45-48         619        193  0.2582  0.1930    0.9482
  40%     2          4-20        21-25         990        365  0.2582  0.1954    0.9489
  35%     3          5-19        20-23         846        288  0.2584  0.1971    0.9439
  60%    13         15-40        41-47        1475        375  0.2586  0.1974    0.9572
  60%    12         14-39        40-46        1455        386  0.2587  0.2013    0.9582
  60%    16         18-43        44-50        1512        353  0.2592  0.1936    0.9473
  15%    40         42-47        48-49         322         99  0.2597  0.1882    0.9378
  40%    25         27-43        44-48         895        251  0.2598  0.1928    0.9483
  20%    38         40-47        48-50         434        150  0.2598  0.1961    0.9398
  30%    30         32-43        44-47         598        203  0.2600  0.1967    0.9507
  20%    37         39-46        47-49         454        147  0.2600  0.1968    0.9428
  30%    32         34-45        46-49         631        195  0.2603  0.1929    0.9463
  10%    16         18-21        22-23         258        148  0.2603  0.1956    0.9482
  40%    23         25-41        42-46         911        274  0.2604  0.1996    0.9559
  12%    19         21-25        26-27         365        129  0.2611  0.2083    0.9574
  12%    20         22-26        27-28         359        123  0.2614  0.2120    0.9566
  40%    28         30-46        47-51         867        251  0.2614  0.1951    0.9429
  35%     9         11-25        26-29         877        247  0.2616  0.2021    0.9584
  15%    13         15-20        21-22         323        143  0.2616  0.2069    0.9413
  60%    17         19-44        45-51        1515        348  0.2618  0.1970    0.9454
  60%    11         13-38        39-45        1433        406  0.2620  0.2052    0.9578
  10%    43         45-48        49-50         193        102  0.2622  0.1997    0.9412
  25%    35         37-47        48-50         610        150  0.2623  0.1951    0.9386
  25%    33         35-45        46-48         595        144  0.2631  0.1971    0.9466
  25%    29         31-41        42-44         535        177  0.2635  0.1974    0.9567
  30%    33         35-46        47-50         643        198  0.2637  0.1985    0.9413
