Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Italian Grand Prix\italian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     3     49      0.5782 [0.4326, 0.7238]     0.4307  [0.335, 0.5264]    0.7214 [0.5211, 0.9217]
  10%     5     47      0.3268 [0.2737, 0.3799]     0.2487  [0.2233, 0.274]    0.9502 [0.9272, 0.9731]
  12%     6     46      0.3600 [0.2865, 0.4334]     0.2640 [0.2307, 0.2973]    0.9372  [0.902, 0.9724]
  15%     8     44      0.2945 [0.2826, 0.3065]     0.2298 [0.2209, 0.2388]    0.9665 [0.9613, 0.9717]
  20%    10     42      0.2860 [0.2747, 0.2972]     0.2231 [0.2149, 0.2314]    0.9688 [0.9637, 0.9739]
  25%    13     39      0.2864 [0.2785, 0.2943]     0.2239   [0.2179, 0.23]    0.9712  [0.9694, 0.973]
  30%    15     37      0.2836   [0.2772, 0.29]     0.2220 [0.2166, 0.2273]    0.9720 [0.9702, 0.9737]
  35%    18     34      0.2864 [0.2785, 0.2943]     0.2245  [0.218, 0.2309]    0.9720    [0.97, 0.974]
  40%    20     32      0.2835 [0.2755, 0.2914]     0.2223 [0.2155, 0.2291]    0.9729  [0.971, 0.9747]
  60%    31     21      0.2814 [0.2734, 0.2894]     0.2182 [0.2123, 0.2242]    0.9752 [0.9744, 0.9759]

--- TODOS OS FOLDS (WF GERAL) | MELHOR -> PIOR RMSE ---
Ratio  Fold Voltas_Treino Voltas_Teste  Train_Regs  Test_Regs   RMSE    MAE      R2
  10%    20         22-25        26-26         258         66 0.2381 0.1949  0.9765
  15%    17         19-24        25-26         357        131 0.2391 0.1909  0.9761
  20%    15         17-24        25-26         481        131 0.2399 0.1896  0.9759
  25%    12         14-23        24-26         603        195 0.2425 0.1915  0.9754
  10%    36         38-41        42-42         220         62 0.2425 0.1951  0.9817
  10%    41         43-46        47-47         240         44 0.2443 0.1834  0.9829
  30%    10         12-23        24-26         709        195 0.2463 0.1936  0.9747
  20%    23         25-32        33-34         522        116 0.2498 0.1947  0.9786
  10%    33         35-38        39-39         237         57 0.2502 0.1969  0.9754
  20%    14         16-23        24-25         477        129 0.2519 0.1961  0.9734
  10%    28         30-33        34-34         246         60 0.2522 0.2008  0.9781
  10%    24         26-29        30-30         267         67 0.2523 0.1838  0.9773
  15%    25         27-32        33-34         391        116 0.2535 0.1980  0.9780
  15%    28         30-35        36-37         364        123 0.2539 0.2044  0.9797
  12%    27         29-32        33-34         260        116 0.2544 0.1976  0.9778
  12%    19         21-24        25-26         247        131 0.2548 0.1960  0.9728
  20%     9         11-18        19-20         481        110 0.2549 0.1997  0.9723
  20%    29         31-38        39-40         476        111 0.2549 0.1943  0.9744
  15%    18         20-25        26-27         364        131 0.2554 0.1989  0.9731
  40%    13         15-30        31-34        1002        239 0.2566 0.2002  0.9777
  30%    12         14-25        26-28         732        197 0.2567 0.2008  0.9737
  40%    19         21-36        37-40        1008        225 0.2567 0.2077  0.9758
  40%    18         20-35        36-39         995        236 0.2571 0.2025  0.9773
  20%    16         18-25        26-27         484        131 0.2572 0.2019  0.9728
  15%    16         18-23        24-25         355        129 0.2573 0.2062  0.9723
  20%     7          9-16        17-18         499        124 0.2575 0.2003  0.9734
  15%    34         36-41        42-43         343        120 0.2577 0.1927  0.9793
  20%    32         34-41        42-43         461        120 0.2578 0.1902  0.9793
  20%    13         15-22        23-24         474        129 0.2580 0.2072  0.9740
  35%    15         17-30        31-34         880        239 0.2581 0.2020  0.9775
  35%     8         10-23        24-27         844        260 0.2581 0.2043  0.9723
  40%     6          8-23        24-27         990        260 0.2582 0.2049  0.9723
  40%    12         14-29        30-33         999        246 0.2586 0.2005  0.9771
  10%    18         20-23        24-24         235         64 0.2587 0.2099  0.9721
  25%    20         22-31        32-34         654        177 0.2596 0.2026  0.9773
  20%    26         28-35        36-37         500        123 0.2598 0.2067  0.9787
  20%    28         30-37        38-39         487        113 0.2602 0.2054  0.9743
  20%    37         39-46        47-48         466         89 0.2604 0.2030  0.9813
  15%    31         33-38        39-40         353        111 0.2605 0.2030  0.9733
  30%    18         20-31        32-34         760        177 0.2606 0.2035  0.9771
  15%    30         32-37        38-39         358        113 0.2606 0.2094  0.9742
  25%    13         15-24        25-27         603        196 0.2607 0.2055  0.9718
  15%    39         41-46        47-48         355         89 0.2607 0.2067  0.9813
  20%     1          3-10        11-12         545        112 0.2608 0.2055  0.9684
  15%    11         13-18        19-20         369        110 0.2611 0.1999  0.9709
  35%    14         16-29        30-33         873        246 0.2615 0.2022  0.9766
  25%     6          8-17        18-20         635        172 0.2617 0.1980  0.9721
  35%    20         22-35        36-39         889        236 0.2619 0.2066  0.9765
  60%     6          8-31        32-38        1515        414 0.2619 0.2055  0.9774
  10%    19         21-24        25-25         247         65 0.2620 0.2026  0.9711
  35%    21         23-36        37-40         890        225 0.2623 0.2118  0.9747
  25%    14         16-25        26-28         606        197 0.2626 0.2070  0.9725
  30%     4          6-17        18-20         774        172 0.2629 0.1993  0.9718
  35%     9         11-24        25-28         838        262 0.2629 0.2080  0.9721
  40%    21         23-38        39-42        1004        226 0.2631 0.2018  0.9754
  12%    28         30-33        34-35         246        118 0.2634 0.2062  0.9768
  40%     7          9-24        25-28         980        262 0.2636 0.2083  0.9719
  12%    20         22-25        26-27         258        131 0.2637 0.2127  0.9713
  25%    26         28-37        38-40         623        167 0.2639 0.2100  0.9733
  60%     7          9-32        33-39        1502        410 0.2639 0.2065  0.9764
  30%    11         13-24        25-27         726        196 0.2643 0.2081  0.9710
  30%    17         19-30        31-33         756        179 0.2644 0.2067  0.9764
  25%    21         23-32        33-35         651        174 0.2646 0.2054  0.9765
  10%     6          8-11        12-12         281         47 0.2646 0.2284  0.9603
  60%     5          7-30        31-37        1525        420 0.2647 0.2048  0.9771
  10%    31         33-36        37-37         239         58 0.2648 0.2203  0.9771
  40%    14         16-31        32-35        1002        235 0.2655 0.2069  0.9765
  35%     7          9-22        23-26         851        260 0.2655 0.2131  0.9715
  10%    29         31-34        35-35         239         58 0.2656 0.1888  0.9771
  15%    24         26-31        32-33         396        117 0.2656 0.2060  0.9765
  20%    22         24-31        32-33         525        117 0.2658 0.2096  0.9764
  20%     8         10-17        18-19         489        120 0.2661 0.2021  0.9709
  35%    23         25-38        39-42         875        226 0.2661 0.2043  0.9748
  25%    19         21-30        31-33         646        179 0.2662 0.2087  0.9761
  40%    11         13-28        29-32         988        260 0.2663 0.2062  0.9752
  60%    10         12-35        36-42        1469        405 0.2665 0.2063  0.9756
  40%    10         12-27        28-31         969        265 0.2665 0.2070  0.9743
  35%    16         18-31        32-35         880        235 0.2665 0.2089  0.9764
  12%    41         43-46        47-48         240         89 0.2667 0.2122  0.9804
  20%    24         26-33        34-35         513        118 0.2668 0.2078  0.9762
  30%    19         21-32        33-35         769        174 0.2668 0.2073  0.9761
  35%    13         15-28        29-32         865        260 0.2670 0.2078  0.9750
  30%    24         26-37        38-40         754        167 0.2674 0.2154  0.9725
  15%    21         23-28        29-30         391        137 0.2675 0.2085  0.9740
  60%     4          6-29        30-36        1525        429 0.2676 0.2049  0.9762
  60%     8         10-33        34-40        1486        408 0.2677 0.2094  0.9752
  25%    23         25-34        35-37         638        181 0.2678 0.2051  0.9772
  30%    22         24-35        36-38         760        179 0.2679 0.2094  0.9763
  12%    32         34-37        38-39         241        113 0.2679 0.2119  0.9728
  10%    11         13-16        17-17         245         62 0.2684 0.2011  0.9703
  30%    14         16-27        28-30         737        203 0.2686 0.2094  0.9735
  12%     5          7-10        11-12         288        112 0.2687 0.2167  0.9665
  60%    11         13-36        37-43        1487        398 0.2687 0.2106  0.9752
  15%     9         11-16        17-18         357        124 0.2688 0.2148  0.9710
  12%    18         20-23        24-25         235        129 0.2688 0.2197  0.9697
  10%    27         29-32        33-33         260         56 0.2693 0.2051  0.9753
  60%     3          5-28        29-35        1522        434 0.2695 0.2094  0.9751
  30%    16         18-29        30-32         751        190 0.2698 0.2075  0.9750
  40%    22         24-39        40-43         996        227 0.2699 0.2061  0.9758
  40%     8         10-25        26-29         973        267 0.2700 0.2132  0.9715
  35%    12         14-27        28-31         863        265 0.2700 0.2101  0.9736
  40%     5          7-22        23-26         997        260 0.2704 0.2164  0.9705
  30%    21         23-34        35-37         767        181 0.2705 0.2069  0.9767
  20%    19         21-28        29-30         509        137 0.2705 0.2077  0.9735
  25%     5          7-16        17-19         645        182 0.2716 0.2091  0.9697
  30%    23         25-36        37-39         761        171 0.2716 0.2208  0.9735
  10%     4           6-9        10-10         285         70 0.2718 0.2252  0.9638
  20%    17         19-26        27-28         488        131 0.2719 0.2161  0.9710
  20%    25         27-34        35-36         507        123 0.2723 0.2036  0.9767
  30%     9         11-22        23-25         709        194 0.2724 0.2175  0.9703
  25%    24         26-35        36-38         631        179 0.2725 0.2131  0.9755
  10%    26         28-31        32-32         265         61 0.2726 0.2126  0.9754
  12%    24         26-29        30-31         267        129 0.2730 0.2026  0.9738
  12%    33         35-38        39-40         237        111 0.2731 0.2068  0.9707
  35%    10         12-25        26-29         838        267 0.2732 0.2161  0.9708
  20%    20         22-29        30-31         525        129 0.2736 0.2081  0.9737
  15%     3          5-10        11-12         422        112 0.2736 0.2131  0.9652
  12%    23         25-28        29-30         262        137 0.2736 0.2111  0.9728
  30%    15         17-28        29-31         743        199 0.2737 0.2100  0.9732
  35%    19         21-34        35-38         885        237 0.2737 0.2126  0.9754
  60%    13         15-38        39-45        1478        406 0.2740 0.2093  0.9759
  20%    21         23-30        31-32         528        123 0.2742 0.2169  0.9746
  35%    11         13-26        27-30         857        268 0.2743 0.2171  0.9717
