Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
   5%     2     47    134.3604 [-123.34, 392.0608]    56.1748 [-49.9102, 162.2599] -1.013469e+06 [-2999762.1955, 972824.9306]
  10%     5     44      0.4894    [0.3173, 0.6615]     0.3485     [0.2604, 0.4366]  6.211000e-01             [0.2289, 1.0134]
  12%     6     43      0.5361    [0.3317, 0.7405]     0.3818      [0.2686, 0.495]  4.913000e-01            [-0.0476, 1.0302]
  15%     7     42      0.3929    [0.3588, 0.4271]     0.3027     [0.2762, 0.3293]  8.399000e-01             [0.8166, 0.8632]
  20%    10     39      0.3552    [0.3383, 0.3722]     0.2749     [0.2612, 0.2886]  8.678000e-01             [0.8572, 0.8784]
  25%    12     37      0.3541    [0.3375, 0.3707]     0.2758     [0.2622, 0.2893]  8.707000e-01              [0.862, 0.8793]
  30%    14     35      0.3471    [0.3314, 0.3628]     0.2703     [0.2569, 0.2836]  8.765000e-01             [0.8684, 0.8845]
  35%    17     32      0.3457    [0.3289, 0.3624]     0.2700     [0.2555, 0.2845]  8.808000e-01             [0.8741, 0.8876]
  40%    19     30      0.3446    [0.3275, 0.3617]     0.2693      [0.255, 0.2837]  8.831000e-01             [0.8755, 0.8906]
  60%    29     20      0.3235    [0.3167, 0.3302]     0.2511     [0.2446, 0.2577]  8.860000e-01             [0.8774, 0.8945]

--- TODOS OS FOLDS (WF GERAL) | MELHOR -> PIOR RMSE ---
Ratio  Fold Voltas_Treino Voltas_Teste  Train_Regs  Test_Regs      RMSE       MAE            R2
  10%    14         16-19        20-20         148         30    0.2674    0.2205  9.130000e-01
  40%    13         15-29        30-33         751        267    0.2868    0.2212  9.268000e-01
  60%     6          8-30        31-36        1219        388    0.2938    0.2219  9.164000e-01
  10%    25         27-30        31-31         267         65    0.2966    0.2324  9.232000e-01
  40%    14         16-30        31-34         753        264    0.2995    0.2276  9.194000e-01
  60%     7          9-31        32-37        1233        382    0.3001    0.2270  9.081000e-01
  20%    24         26-33        34-35         535        124    0.3007    0.2236  8.998000e-01
  20%    29         31-38        39-40         498         99    0.3010    0.2427  8.824000e-01
  60%     5          7-29        30-35        1206        391    0.3027    0.2316  9.141000e-01
  20%    20         22-29        30-31         484        130    0.3032    0.2324  9.161000e-01
  10%     6          8-11        12-12         205         69    0.3036    0.2444  9.139000e-01
  40%    15         17-31        32-35         768        261    0.3045    0.2305  9.103000e-01
  15%    27         29-33        34-35         335        124    0.3046    0.2316  8.971000e-01
  35%    15         17-29        30-33         638        267    0.3049    0.2346  9.173000e-01
  30%    17         19-29        30-32         570        199    0.3062    0.2397  9.161000e-01
  10%    40         42-45        46-46         252         60    0.3063    0.2419  8.399000e-01
  20%    28         30-37        38-39         512        101    0.3065    0.2431  8.822000e-01
  30%    25         27-37        38-40         714        150    0.3071    0.2433  8.785000e-01
  30%    18         20-30        31-33         605        202    0.3077    0.2341  9.173000e-01
  10%    33         35-38        39-39         234         50    0.3088    0.2492  8.850000e-01
  20%    33         35-42        43-44         446        125    0.3091    0.2447  8.788000e-01
