Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\United States Grand Prix\united_states_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media              IC_95%_RMSE  MAE_Media               IC_95%_MAE      R2_Media                         IC_95%_R2
   5%     3     52   7090.5547 [-6780.4097, 20961.5192]  3547.2623 [-3393.0306, 10487.5552] -1.436416e+09 [-4251736584.6463, 1378904113.32]
  10%     5     50      0.5169         [0.3533, 0.6805]     0.3879         [0.2821, 0.4938]  6.747000e-01                  [0.2357, 1.1138]
  12%     6     49      0.5800         [0.3432, 0.8169]     0.4439         [0.2652, 0.6225]  4.858000e-01                  [-0.3005, 1.272]
  15%     8     47      0.3851          [0.3663, 0.404]     0.3042           [0.2884, 0.32]  9.270000e-01                  [0.9168, 0.9372]
  20%    11     44      0.3784         [0.3583, 0.3984]     0.2924          [0.2828, 0.302]  9.255000e-01                  [0.9075, 0.9434]
  25%    14     41      0.3569          [0.3467, 0.367]     0.2801         [0.2727, 0.2875]  9.371000e-01                   [0.929, 0.9452]
  30%    16     39      0.3554         [0.3462, 0.3647]     0.2783          [0.2717, 0.285]  9.380000e-01                  [0.9301, 0.9458]
  35%    19     36      0.3609         [0.3398, 0.3821]     0.2767          [0.2694, 0.284]  9.320000e-01                  [0.9121, 0.9519]
  40%    22     33      0.3742         [0.3474, 0.4011]     0.2776         [0.2705, 0.2848]  9.262000e-01                  [0.9026, 0.9499]
  60%    32     23      0.3421         [0.3337, 0.3505]     0.2678         [0.2627, 0.2729]  9.527000e-01                   [0.9504, 0.955]

--- TODOS OS FOLDS (WF GERAL) | MELHOR -> PIOR RMSE ---
Ratio  Fold Voltas_Treino Voltas_Teste  Train_Regs  Test_Regs        RMSE         MAE            R2
  10%    43         45-48        49-49         256         65      0.2895      0.2276  9.640000e-01
  10%    14         16-19        20-20         218         45      0.2925      0.2356  9.172000e-01
  15%    16         18-23        24-25         272        101      0.2959      0.2340  9.301000e-01
  15%    41         43-48        49-50         389        131      0.2995      0.2309  9.619000e-01
  15%    40         42-47        48-49         385        131      0.3091      0.2491  9.584000e-01
  30%    22         24-35        36-39         664        233      0.3097      0.2448  9.634000e-01
  25%    29         31-41        42-44         631        195      0.3105      0.2341  9.607000e-01
  15%    11         13-18        19-20         366         90      0.3121      0.2397  9.215000e-01
  40%    17         19-35        36-40         892        291      0.3124      0.2478  9.621000e-01
  35%    30         32-46        47-50         893        260      0.3142      0.2480  9.583000e-01
  25%    35         37-47        48-50         679        197      0.3142      0.2498  9.575000e-01
  35%    20         22-36        37-40         813        236      0.3148      0.2488  9.607000e-01
